V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,cond,objective,Q3,Q73,Q11,Q13,Q14,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,gender,age_1,puboffice,Q64,pubemploy,authority,comments
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,cond,objective,Individual Decision Making Study /  / This consent form asks you to take part in a research study / conducted by researchers at Harvard and UCLA. You must be at least / 18 years old to participate. / This re...,"For this study you will read and respond to questions about / approaches to public policy. /   /  This is a short survey, so we ask that you please pay attention /  and read all materials before responding.",Policy Proposal: Automatic Enrollment / Researchers have suggested that one useful approach to public / policy is to automatically enroll people into a program. The basic / idea is that most people tend...,"For example, some low-income individuals may wish to participate in / food stamp and supplemental assistance programs they are legally / eligible for, but normally fail to claim such benefits. Knowing...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How much do you <u>support</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How much do you <u>oppose</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>ethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>manipulative</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>unethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Do you identify primarily as Republican, Democrat, or neither?","When it comes to social issues, I am ... /  Â ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,"When it comes to economic issues, I am ... /  Â ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,How do you feel about promoting food stamp programs for low-income / individuals?,How do you feel about promoting tax breaks for high-income / individuals?,Gender: /  Â ,Age:Â -years old,"Are you, or have you ever been, elected to a public / office?","Are you, or have you ever been, appointed to a public / office?",Are you a public employee?,Do you have authority over how or whether any government / policies affect the public?,"Finally, any questions, comments, or suggestions for this / study?"
R_a9JBAgvEFDuxza5,Default Response Set,Anonymous,,,120,0,2014-05-30 13:53:40,2014-05-30 13:56:37,1,1,tax breaks,1,1,1,,1,1,5,1,5,5,5,,,,,2,,,1,,,1,,1,2,53,9,9,8,,
R_5uWoKkZaHvIDjDf,Default Response Set,Anonymous,,,38,0,2014-05-30 13:57:06,2014-05-30 14:01:02,1,0,food stamps,1,1,1,1,,4,2,4,3,2,5,109.478,150.80499999999998,151.788,7,2,2,,,2,,,7,,2,44,9,9,8,8,
R_41tenXjGvXsBunP,Default Response Set,Anonymous,,,84,0,2014-05-30 14:00:25,2014-05-30 14:05:27,1,1,tax breaks,1,1,1,,1,4,2,5,4,1,1,97.371,157,158.401,7,1,7,,,7,,,,6,1,48,9,9,8,8,Not at this time.
R_41Ty3YNOBU1Mlxj,Default Response Set,Anonymous,,,64,0,2014-05-30 14:39:56,2014-05-30 14:42:35,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,4,63.716,90.85199999999999,91.839,6,1,6,,,7,,,,4,1,30,9,8,8,8,
R_0v37btpOGhyRBs1,Default Response Set,Anonymous,,,85,0,2014-05-30 14:39:37,2014-05-30 14:43:44,1,0,food stamps,1,1,1,1,,1,5,2,4,5,2,57.055,95.329,97.131,7,2,4,,,5,,,2,,2,44,8,8,9,8,
R_1WSiINi1l3kXEZ7,Default Response Set,Anonymous,,,41,0,2014-05-30 14:52:39,2014-05-30 14:58:12,1,1,tax breaks,1,1,1,,1,2,4,2,5,4,5,102.074,217.34500000000003,219.124,7,3,1,,,7,,,,6,1,48,8,8,8,8,
R_bpZ2AdesFDefu3X,Default Response Set,Anonymous,,,123,0,2014-05-30 16:14:21,2014-05-30 16:17:49,1,0,food stamps,1,1,1,1,,3,2,3,3,3,3,68.637,88.51599999999999,92.316,6,2,4,,,4,,,6,,1,37,9,8,8,8,
R_bkd3yxkrZM43jgx,Default Response Set,Anonymous,,,4,0,2014-05-30 16:38:25,2014-05-30 16:40:34,1,1,tax breaks,1,1,1,,1,4,2,3,3,3,3,11.91,43.299,46.596,7,3,4,,,5,,,,3,1,48,9,8,8,8,
R_0xpot79J20bL77L,Default Response Set,Anonymous,,,1,0,2014-05-30 17:13:30,2014-05-30 17:22:35,1,0,food stamps,1,1,1,1,,3,3,3,4,3,4,59.338,99.76700000000001,105.791,6,2,3,,,3,,,7,,1,56,9,8,8,9,
R_dpsWmDGabirpUgd,Default Response Set,Anonymous,,,137,0,2014-05-30 18:09:27,2014-05-30 18:12:34,1,0,food stamps,1,1,1,1,,3,3,3,3,3,4,4.369,16.607999999999997,83.887,6,1,4,,,5,,,4,,1,50,8,9,8,9,
R_dmw6dplrXbvHodT,Default Response Set,Anonymous,,,126,0,2014-05-31 04:16:46,2014-05-31 04:21:55,1,1,tax breaks,1,1,1,,1,4,1,4,3,1,2,45.741,107.672,111.86,6,2,3,,,3,,,,1,1,51,8,9,9,9,
R_eFBRtrOHHNDjpbL,Default Response Set,Anonymous,,,113,0,2014-05-31 04:58:23,2014-05-31 05:02:18,1,1,tax breaks,1,1,1,,1,3,3,3,5,4,5,72.891,89.151,91.12,6,2,3,,,2,,,,1,1,53,8,8,9,9,
R_6PWksuokKZD8WlD,Default Response Set,Anonymous,,,127,0,2014-05-31 06:31:42,2014-05-31 06:34:33,1,0,food stamps,1,1,1,1,,5,2,5,2,1,2,73.908,107.399,108.818,6,3,2,,,2,,,5,,1,54,8,9,8,8,
R_9YwHHwDaboIMCrj,Default Response Set,Anonymous,,,133,0,2014-05-31 06:37:11,2014-05-31 06:42:30,1,1,tax breaks,1,1,1,,1,3,3,3,3,3,3,64.441,82.908,87.331,6,3,2,,,4,,,,1,1,43,9,8,8,8,
R_bpx8IbPrQCVa8tf,Default Response Set,Anonymous,,,116,0,2014-05-31 06:57:14,2014-05-31 06:59:36,1,0,food stamps,1,1,1,1,,1,5,3,5,3,4,46.439,77.36999999999999,78.01,9,3,7,,,7,,,3,,1,44,9,8,8,8,
R_4YBVKmfJEdTg5Ct,Default Response Set,Anonymous,,,44,0,2014-05-31 08:54:00,2014-05-31 08:57:53,1,1,tax breaks,1,1,1,,1,4,2,4,4,2,4,71.885,96.739,102.713,6,1,3,,,2,,,,6,1,47,9,9,8,8,
R_eb7ouX73xAAu2eV,Default Response Set,Anonymous,,,136,0,2014-05-31 11:35:51,2014-05-31 11:41:55,1,0,food stamps,1,1,1,1,,2,4,3,3,3,3,66.898,191.781,193.849,8,1,4,,,5,,,2,,1,50,8,8,9,8,
R_0MwxxdmDH0jwsOV,Default Response Set,Anonymous,,,95,0,2014-05-31 12:14:01,2014-05-31 12:18:24,1,1,tax breaks,1,1,1,,1,5,2,3,3,3,2,58.809,104.96799999999999,107.151,9,2,4,,,4,,,,3,1,57,9,9,8,8,
R_8J1aTMMLKat1xlj,Default Response Set,Anonymous,,,80,0,2014-05-31 16:38:19,2014-05-31 16:44:06,1,0,food stamps,1,1,1,1,,3,3,2,5,4,4,59.176,92.64900000000002,101.966,6,2,2,,,6,,,5,,2,37,9,9,8,8,"Fr broader application of the food stamp example, it really depends on what the topic is and how the policy maker chooses to use the automatic opt in approach.  The food stamp example is far more clear cut than other potential topics, and there is always the possibility of poor public policy and manipulation, as well as unintended consequences."
R_ac3dvVvrbIsFzXD,Default Response Set,Anonymous,,,124,0,2014-05-31 16:59:12,2014-05-31 17:02:49,1,1,tax breaks,1,1,1,,1,4,2,4,5,1,1,53.236,87.972,88.989,6,1,6,,,6,,,,4,1,48,9,8,8,8,No
R_bI6MsU0L0oS7Gg5,Default Response Set,Anonymous,,,97,0,2014-06-01 04:47:35,2014-06-01 05:01:02,1,0,food stamps,1,1,1,1,,4,2,3,4,3,3,97.376,172.767,174.988,9,2,3,,,4,,,7,,2,44,9,8,8,8,"It is very difficult to answer the questions without more details - the answer to many of the question is ""it depends.""  There are questions about what type of data is utilized (public sources only?), how it is extrapolated, who is extrapolating it and for what purposes.  This can be viewed as a seed change in how the U.S. views individual rights and privacy.  While I am greatly supportive of assisting low-income individuals with basics, I am also very supportive of individuals' rights to privacy...this proposal is a step towards making decisions for and about people.  For some populations this may be helpful because they may not be capable to assist themselves to the extent possible.  However for others, it is imposing or inadvertently ""labeling"" someone when they have not self-identified themselves as such.  Even by opting-out, they still have been ""identified""...or targeted if looked at for darker purposes.  History is full of examples of good intentions being executed in awful ways.  Also, by giving only one example, it skews the survey, even though it says to ignore the example.  Two or more examples should be used.  "
R_cYqfPTs74kydu05,Default Response Set,Anonymous,,,31,0,2014-06-01 16:52:47,2014-06-01 16:57:08,1,1,tax breaks,1,1,1,,1,3,3,3,3,3,3,59.027,72.914,85.64,6,2,2,,,4,,,,4,2,51,9,8,9,8,You only gave one example of automatically enrolling people in a program.  It was difficult to say how I feel about the practice in general based on one program.
R_7X6WIUZvkXUy1DL,Default Response Set,Anonymous,,,106,0,2014-06-02 02:02:37,2014-06-02 02:07:06,1,1,tax breaks,1,1,1,,1,4,1,5,1,1,1,80.083,109.459,136.033,9,2,1,,,2,,,,1,1,25,8,9,8,8,
R_5nY4oiUskMRZPkF,Default Response Set,Anonymous,,,18,0,2014-06-02 17:00:28,2014-06-02 17:09:43,1,0,food stamps,1,1,1,1,,3,3,4,2,2,4,49.671,69.74799999999999,71.511,6,3,3,,,4,,,4,,1,35,9,8,8,8,
R_020qZ71F6nnpyAJ,Default Response Set,Anonymous,,,53,0,2014-06-02 17:53:50,2014-06-02 17:59:28,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,4,175.326,199.98,202.379,8,3,6,,,6,,,,3,1,55,8,8,8,8,no
R_1SKRzorc54dAPRz,Default Response Set,Anonymous,,,69,0,2014-06-02 18:09:23,2014-06-02 18:14:22,1,0,food stamps,1,1,1,1,,2,3,2,5,3,4,92.104,139.299,141.683,6,1,6,,,7,,,4,,1,49,9,8,8,8,
R_5mCwqe7acaOxuAJ,Default Response Set,Anonymous,,,21,0,2014-06-02 18:28:19,2014-06-02 18:32:39,1,1,tax breaks,1,1,1,,1,3,3,4,4,3,4,68.476,89.961,92.608,6,3,5,,,4,,,,3,1,,9,8,8,8,
R_0kSiG9Is4S4YdP7,Default Response Set,Anonymous,,,22,0,2014-06-02 19:28:37,2014-06-02 19:32:32,1,1,tax breaks,1,1,1,,1,2,4,2,4,4,4,71.531,96.33000000000003,97.845,9,2,2,,,4,,,,3,2,,9,9,8,8,
R_2n2J2i7WbPxo2Hj,Default Response Set,Anonymous,,,103,0,2014-06-02 19:32:45,2014-06-02 19:38:46,1,0,food stamps,1,1,1,1,,3,3,3,4,3,3,47.752,74.103,96.716,6,2,4,,,4,,,5,,1,43,9,9,8,9,One question in the electronic survey is different than the paper copy received.
R_7NIEHKhzrDyUPjf,Default Response Set,Anonymous,,,20,0,2014-06-03 03:56:12,2014-06-03 03:58:47,1,0,food stamps,1,1,1,1,,1,5,3,5,4,5,43.466,68.95400000000001,70.079,6,1,6,,,6,,,5,,1,37,9,8,8,8,Very interesting qquestion
R_8euZuCLJD54D75X,Default Response Set,Anonymous,,,30,0,2014-06-03 17:51:59,2014-06-03 17:54:56,1,1,tax breaks,1,1,1,,1,1,5,1,5,5,5,48.313,74.37599999999999,79.752,7,2,4,,,5,,,,1,2,,9,9,9,9,
